Rays,Angles,RMS per-pixel error
44,33,0.00000000033154044045538296
44,34,0.000000000367448328550778
44,35,0.0000000000033034679953729176
44,36,0.000000000002964931429643877
44,37,0.000000000003676807212491913
44,38,0.0000000020029897145356096
44,39,0.00000000000340363068205119
44,40,0.000000000002773063227074296
45,10,29.489868768739875
45,11,27.60414456841208
45,12,24.955449301883345
45,13,23.475059301344192
45,14,20.590489831244884
45,15,19.80004244243491
45,16,17.039347449956235
45,17,16.21830498500165
45,18,14.978978990548448
45,19,14.224123839965765
45,20,13.089181254122924
45,21,11.902453843284823
45,22,11.345506504594113
45,23,9.214510333468027
45,24,8.421320984454615
45,25,7.053244628894806
45,26,6.701972476196112
45,27,4.1479625071689625
45,28,1.9380892114751034
45,29,0.000000000020050173653797062
45,30,0.000000000015076965155600765
45,31,0.000000000007544694649442924
45,32,0.00000000007788822183960819
45,33,0.0000000000058643817467852965
45,34,0.00000000021788353850427654
45,35,0.0000000000034641565035415165
45,36,0.000000000031432232195298355
45,37,0.000000000004462923627928282
45,38,0.00000000003107440405891368
45,39,0.0000000000026176303045192934
45,40,0.0000000000021306893360431525
46,10,29.327578916218222
46,11,28.549106272886934
46,12,24.235179725875874
46,13,23.025401673544717
46,14,20.59319090487145
46,15,18.34392264828876
46,16,17.289027135072384
46,17,16.737368284438265
46,18,15.247107290934622
46,19,13.107909055317146
46,20,13.31474397551156
46,21,11.511369356554724
46,22,10.626820181807254
46,23,8.902858238758338
46,24,8.397174240108132
